season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards
1980,nixonno01,Norm Nixon,24,LAL,PG,82,82,3226,14.9,.548,20.0,6.7,-0.7,1.1,
1980,hayesel01,Elvin Hayes,34,WSB,PF,81,,3183,17.2,.492,26.1,6.2,-0.4,1.2,AS
1980,cartwbi01,Bill Cartwright,22,NYK,C,82,82,3150,17.9,.608,20.6,9.7,0.6,2.1,AS
1980,abdulka01,Kareem Abdul-Jabbar,32,LAL,C,82,,3143,25.3,.639,24.1,14.8,7.2,7.3,MVP-1;AS;NBA1;DEF1
1980,malonmo01,Moses Malone,24,HOU,C,82,82,3140,24.1,.560,27.6,11.9,2.1,3.2,MVP-9;AS;NBA2
1980,wilkeja01,Jamaal Wilkes,26,LAL,SF,82,82,3111,17.6,.563,20.8,10.0,1.3,2.6,
1980,richami01,Michael Ray Richardson,24,NYK,SG,82,82,3060,17.8,.517,19.7,6.0,3.1,3.9,AS;DEF1
1980,theusre01,Reggie Theus,22,CHI,SG,82,82,3029,17.0,.579,24.0,6.9,0.8,2.1,
1980,unselwe01,Wes Unseld,33,WSB,C,82,82,2973,15.4,.545,11.7,8.4,2.5,3.3,
1980,willigu01,Gus Williams,26,SEA,PG,82,82,2969,20.6,.529,25.2,11.6,4.7,5.0,MVP-8;NBA2
1980,birdla01,Larry Bird,23,BOS,PF,82,82,2955,20.5,.538,25.3,11.2,4.5,4.8,MVP-4;ROY-1;AS;NBA1
1980,knighto01,Toby Knight,24,NYK,SF,81,81,2945,16.4,.561,20.1,7.3,0.4,1.8,
1980,isselda01,Dan Issel,31,DEN,C,82,82,2938,22.2,.571,25.0,11.5,3.3,3.9,
1980,johnsde01,Dennis Johnson,25,SEA,SG,81,,2937,15.9,.489,24.2,7.4,1.3,2.5,MVP-5;AS;NBA2;DEF1
1980,gervige01,George Gervin,27,SAS,SG,78,,2934,24.0,.587,31.7,10.6,3.9,4.4,MVP-3;AS;NBA1
1980,davisjo01,Johnny Davis,24,IND,PG,82,82,2912,13.6,.495,20.2,4.4,-2.0,0.0,
1980,birdsot01,Otis Birdsong,24,KCK,SG,82,,2885,18.5,.538,26.4,8.6,2.1,3.0,AS
1980,architi01,Tiny Archibald,31,BOS,PG,80,80,2864,15.3,.574,17.0,8.9,1.1,2.3,MVP-5;AS
1980,natersw01,Swen Nater,30,SDC,C,81,,2860,17.2,.589,16.4,6.8,0.0,1.5,
1980,nattca01,Calvin Natt,23,2TM,SF,78,,2857,17.0,.524,23.2,7.1,0.4,1.8,
1980,nattca01,Calvin Natt,23,NJN,SF,53,,2046,15.9,.520,21.4,4.8,-0.1,1.0,
1980,nattca01,Calvin Natt,23,POR,SF,25,,811,19.8,.532,27.6,2.3,1.7,0.8,
1980,parkeso01,Sonny Parker,24,GSW,SF,82,82,2849,16.2,.537,18.6,6.8,1.8,2.7,
1980,brewero01,Ron Brewer,24,POR,SG,82,82,2815,13.2,.503,21.1,4.3,-1.2,0.6,
1980,ervinju01,Julius Erving,29,PHI,SF,78,78,2812,25.4,.568,30.3,12.5,7.6,6.8,MVP-2;AS;NBA1
1980,mitchmi01,Mike Mitchell,24,CLE,SF,82,82,2802,19.1,.557,24.7,8.3,1.2,2.2,
1980,kenonla01,Larry Kenon,27,SAS,PF,78,,2798,17.2,.527,23.2,5.4,-0.4,1.1,
1980,johnsma02,Magic Johnson,20,LAL,SG,77,,2795,20.6,.602,20.9,10.5,4.8,4.8,ROY-2;AS
1980,sikmaja01,Jack Sikma,24,SEA,C,82,82,2793,16.5,.526,18.6,8.6,1.8,2.7,AS
1980,greenda01,Dave Greenwood,22,CHI,PF,82,82,2791,16.2,.541,21.1,6.5,-0.3,1.2,
1980,jonesca01,Caldwell Jones,29,PHI,C,80,80,2771,9.7,.482,11.9,3.9,-1.6,0.2,
