PLAYER_ID,PLAYER_NAME,START_YEAR,CLUSTER,CAREER_LENGTH,AVG_PER,MAX_PER
896,Tim Hardaway,1989,-1,14,18.23,21.81
101114,Deron Williams,2005,-1,12,17.94,21.88
2561,David West,2003,-1,15,17.8,22.13
937,Scottie Pippen,1987,-1,17,17.71,22.54
2225,Tony Parker,2001,-1,18,17.63,23.84
77376,Lafayette Lever,1982,-1,12,17.01,21.98
345,Terry Porter,1985,-1,17,16.99,22.48
1894,Corey Maggette,1999,-1,14,16.9,21.84
978,Peja Stojakovic,1998,-1,13,16.8,22.92
330,Danny Manning,1988,-1,15,16.53,20.47
201586,Serge Ibaka,2009,-1,14,16.52,19.82
96,Detlef Schrempf,1985,-1,16,16.41,21.01
923,Donyell Marshall,1994,-1,15,16.35,20.27
201152,Thaddeus Young,2007,-1,17,16.25,20.51
979,Jermaine O'Neal,1996,-1,18,16.19,21.94
201144,Mike Conley,2007,-1,19,16.19,22.28
1739,Ruben Patterson,1998,-1,10,16.11,19.27
1885,Lamar Odom,1999,-1,14,15.77,19.21
344,Dana Barros,1989,-1,15,15.75,20.01
201563,Michael Beasley,2008,-1,11,15.74,22.99
302,Mookie Blaylock,1989,-1,13,15.69,19.47
1710,Mike Bibby,1998,-1,14,15.57,20.25
200796,Leon Powe,2006,-1,5,15.55,20.85
2199,Tyson Chandler,2001,-1,19,15.43,20.3
202330,Gordon Hayward,2010,-1,14,15.42,20.73
922,Elden Campbell,1990,-1,15,15.21,19.37
2365,Chris Andersen,2001,-1,16,15.17,19.79
76024,Steve Alford,1987,-1,4,15.16,19.35
201609,Goran Dragic,2008,-1,15,15.1,21.1
2031,Stromile Swift,2000,-1,9,15.09,19.7
84,Latrell Sprewell,1992,-1,13,15.04,20.08
221,Clar. Weatherspoon,1992,-1,13,14.92,17.93
2222,Gerald Wallace,2001,-1,14,14.81,22.0
76770,Corey Gaines,1988,-1,7,14.72,23.34
200839,Mike Harris,2007,-1,7,14.7,18.63
313,Vern Fleming,1984,-1,12,14.67,17.67
779,Glen Rice,1989,-1,15,14.66,19.79
201577,Robin Lopez,2008,-1,16,14.63,18.24
117,Jeff Malone,1983,-1,13,14.56,18.9
1073,Reggie Slater,1994,-1,9,14.54,19.8
101124,Hakim Warrick,2005,-1,8,14.49,17.02
78198,Otis Smith,1986,-1,6,14.36,18.63
2590,Mo Williams,2003,-1,13,14.31,16.76
201588,George Hill,2008,-1,15,14.31,21.26
77096,Byron Irvin,1989,-1,4,14.27,17.55
361,Clifford Robinson,1989,-1,18,14.24,19.18
202,Gary Grant,1988,-1,13,14.22,22.66
2406,Caron Butler,2002,-1,14,14.2,19.77
1944,Eddie Robinson,1999,-1,5,14.17,17.96
63,Michael Smith,1994,-1,7,14.13,14.67
788,Kevin Willis,1984,-1,23,14.11,19.97
291,Ed Pinckney,1985,-1,12,14.08,17.02
920,A.C. Green,1985,-1,16,14.08,17.9
201959,Taj Gibson,2009,-1,16,14.08,17.87
202332,Cole Aldrich,2010,-1,8,14.03,21.44
468,Jon Barry,1992,-1,14,14.0,17.62
193,Anthony Mason,1989,-1,14,13.99,18.91
1897,Metta World Peace,1999,-1,18,13.95,22.19
77438,Kyle Macy,1980,-1,7,13.95,16.21
201150,Spencer Hawes,2007,-1,10,13.95,17.87
97,Ronnie Grandison,1988,-1,8,13.94,18.29
1721,Keon Clark,1998,-1,6,13.9,16.45
1715,Jason Williams,1998,-1,13,13.79,17.46
2399,Mike Dunleavy,2002,-1,15,13.76,18.39
1749,Cuttino Mobley,1998,-1,11,13.75,17.04
123,Robert Pack,1991,-1,13,13.72,19.39
1489,Lionel Simmons,1990,-1,7,13.72,16.89
23,Dennis Rodman,1986,-1,14,13.69,17.02
77239,Greg Kelser,1979,-1,6,13.66,16.4
213,Antonio Davis,1993,-1,13,13.64,16.74
136,P.J. Brown,1993,-1,15,13.61,17.48
78523,Mitchell Wiggins,1983,-1,9,13.61,16.91
71,Pooh Richardson,1989,-1,10,13.57,17.18
1509,Kelvin Cato,1997,-1,10,13.48,16.01
1498,Antonio Daniels,1997,-1,14,13.47,19.54
76046,Ron Anderson,1984,-1,10,13.45,15.72
767,Terry Catledge,1985,-1,8,13.34,15.76
77530,Mike McGee,1981,-1,9,13.32,17.89
317,John Starks,1988,-1,14,13.24,16.24
76599,Larry Drew,1980,-1,11,13.21,18.61
78554,John Williams,1986,-1,9,13.21,18.78
696,Travis Best,1995,-1,10,13.14,16.49
77071,Phil Hubbard,1979,-1,10,13.13,16.09
961,John Wallace,1996,-1,8,13.12,16.0
202419,Chris Johnson,2010,-1,3,13.11,18.83
1513,Scot Pollard,1997,-1,11,13.09,19.45
202327,Ekpe Udoh,2010,-1,9,13.07,21.22
324,Anthony Peeler,1992,-1,13,13.06,15.6
956,Erick Dampier,1996,-1,16,13.02,19.84
2045,Hedo Turkoglu,2000,-1,15,13.01,17.71
156,Antoine Carr,1984,-1,16,13.0,18.08
65,Greg Minor,1994,-1,5,12.98,14.56
201627,Anthony Morrow,2008,-1,9,12.97,15.52
202336,Larry Sanders,2010,-1,7,12.97,19.38
76960,Steve Harris,1985,-1,5,12.96,17.32
201978,Chase Budinger,2009,-1,7,12.87,14.87
378,Craig Ehlo,1983,-1,14,12.84,17.79
201945,Gerald Henderson,2009,-1,8,12.83,16.11
76583,James Donaldson,1980,-1,15,12.82,16.04
101142,Ronny Turiaf,2005,-1,10,12.78,15.89
1737,Nazr Mohammed,1998,-1,18,12.75,19.25
201153,Julian Wright,2007,-1,4,12.73,14.92
76881,David Greenwood,1979,-1,12,12.72,16.19
2419,Tayshaun Prince,2002,-1,14,12.71,15.68
174,John Battle,1985,-1,10,12.7,16.15
77019,Rod Higgins,1982,-1,13,12.7,16.58
219,Vinny Del Negro,1988,-1,14,12.68,15.97
436,Juwan Howard,1994,-1,19,12.67,17.55
76418,Don Collins,1980,-1,7,12.66,15.09
783,Frank Brickowski,1984,-1,13,12.64,17.1
101,Scott Skiles,1986,-1,10,12.63,17.8
199,Reggie Williams,1987,-1,10,12.63,17.69
891,Charles Oakley,1985,-1,19,12.62,16.08
78375,Trent Tucker,1982,-1,11,12.61,14.92
201163,Wilson Chandler,2007,-1,13,12.6,17.16
1065,Erick Strickland,1996,-1,9,12.59,17.48
703,Kurt Thomas,1995,-1,18,12.57,16.7
754,Jim Jackson,1992,-1,14,12.57,19.17
1125,Larry Stewart,1991,-1,6,12.54,14.85
78250,Brook Steppe,1982,-1,7,12.53,14.05
