rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_consecutive,2,8,0.07774872653439248,0.9723856980691135,0.9782558459835007,789,887,0.9904399323181049,0.9982100238663485,False
ae64_latent_consecutive,3,8,0.17020553556798348,0.880820789560221,0.9079038353580898,383,707,0.9475099725754176,0.9731503579952268,True
ae64_latent_consecutive,4,8,0.24240444555266627,0.7993489837216294,0.8409151054617962,334,577,0.8920029593758407,0.9731503579952268,False
ae64_latent_consecutive,5,8,0.1902240587040929,0.800448462015202,0.8428024746557263,222,536,0.8980677195501315,0.9665871121718377,False
ae64_latent_consecutive,6,8,0.27600042745698716,0.6514884375767226,0.744112438773175,193,392,0.7798892808152068,0.9337708830548926,False
ae64_latent_consecutive,7,8,0.2387147793253304,0.6726113397067613,0.7562414671122603,138,408,0.7887352790578597,0.9266109785202864,False
ae64_latent_consecutive,8,8,0.2391130267516831,0.5368054738827417,0.7137750546197542,105,495,0.6699261800790184,0.7607398568019093,False
ae64_latent_consecutive,9,8,0.15255084957076195,0.7324500903991182,0.8162103063158774,102,288,0.8731707317073172,0.9379474940334129,False
ae64_latent_consecutive,10,8,0.18480817867702062,0.5698122187693928,0.7278247764238804,103,317,0.6899711551990995,0.8365155131264916,False
ae64_latent_consecutive,11,8,0.18379011861931394,0.5237251419682507,0.6819789934531149,87,273,0.646376162644545,0.7690930787589498,False
ae64_latent_consecutive,12,8,0.15698927795390588,0.5799311184654266,0.712659757117442,86,236,0.7206173436492584,0.8263723150357996,False
