rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_min3seasons,2,8,0.08773465560169161,0.9663414540922926,0.9734237293483916,672,772,0.9862238280526219,0.997229916897507,False
ae64_latent_min3seasons,3,8,0.2262042566751708,0.8587997949865606,0.8950820809502411,360,573,0.9433611884865367,0.9826869806094183,True
ae64_latent_min3seasons,4,8,0.40190488805447255,0.5999491390956005,0.7073024273885389,301,504,0.7576534694273385,0.9037396121883656,False
ae64_latent_min3seasons,5,8,0.30691772104514486,0.6019342777723392,0.7225656608522705,212,360,0.7590050577576313,0.8850415512465374,False
ae64_latent_min3seasons,6,8,0.34541285372310304,0.4605274465749905,0.6461531543841105,171,398,0.639925768221465,0.7022160664819944,False
ae64_latent_min3seasons,7,8,0.28635230158775865,0.5016686834198589,0.6629700404068386,131,317,0.6737303855801202,0.7444598337950139,False
ae64_latent_min3seasons,8,8,0.24633871032763,0.513275379440027,0.6684285395738021,99,336,0.6426936744847191,0.768005540166205,False
ae64_latent_min3seasons,9,8,0.22501310174440367,0.5278709274803408,0.6553778253415065,99,194,0.6649853665900503,0.7950138504155124,False
ae64_latent_min3seasons,10,8,0.21201213998997934,0.4678557333233151,0.6303769965669167,8,214,0.6155646121856844,0.6779778393351801,False
ae64_latent_min3seasons,11,8,0.19222514651877531,0.4942295820462795,0.6427058838848244,87,170,0.6464283566962138,0.7735457063711911,False
ae64_latent_min3seasons,12,8,0.17938543700316553,0.5141871217009883,0.6552043031015313,55,240,0.649812925170068,0.7534626038781164,False
