rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_original2025,2,8,0.018992873338540623,0.9916379661735973,0.9919664673858072,573,1176,0.9979574468085105,0.9994282447112636,False
ae64_latent_original2025,3,8,0.03519108009414991,0.9802145545057457,0.985930831777876,464,673,0.9947198191879044,0.9982847341337907,True
ae64_latent_original2025,4,8,0.07977163805927676,0.9258657770108201,0.9438683615898645,360,584,0.9742138364779873,0.9874213836477987,False
ae64_latent_original2025,5,8,0.13871149646807002,0.9044664403499113,0.9215733074528496,229,549,0.9453385899814472,0.9954259576901087,False
ae64_latent_original2025,6,8,0.12209330470631796,0.8801269280918762,0.9075356086735139,223,389,0.9353811149032993,0.9925671812464265,False
ae64_latent_original2025,7,8,0.23058027274166473,0.5711911178801391,0.6805061888983964,2,386,0.7159462308908804,0.9251000571755289,False
ae64_latent_original2025,8,8,0.15165383815269398,0.7733466031022692,0.84329391257283,137,319,0.9049800796812749,0.9594053744997141,False
ae64_latent_original2025,9,8,0.14551695444143956,0.7279879354090428,0.7959433016900438,112,289,0.8279569892473118,0.9576901086335049,False
ae64_latent_original2025,10,8,0.17486814956699676,0.549426396607112,0.7152454663885884,3,375,0.7071036106750391,0.7947398513436249,False
ae64_latent_original2025,11,8,0.16836884888782475,0.5828814069939136,0.7255717018023543,64,355,0.7069727891156463,0.8582046883933676,False
ae64_latent_original2025,12,8,0.18012384978405444,0.506198651289991,0.6502980980234352,70,218,0.6546296296296296,0.8141795311606632,False
