rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_primary_bpm,2,8,0.04380579204217576,0.9818184921529043,0.9864159895904734,757,919,0.9921205519244735,0.9976133651551312,False
ae64_latent_primary_bpm,3,8,0.11376910198411284,0.9191696194494404,0.9366107689084927,433,778,0.9674928160919539,0.9892601431980907,True
ae64_latent_primary_bpm,4,8,0.291044776119403,0.7571215422874624,0.8137142976819658,319,559,0.8604971548367776,0.9570405727923628,False
ae64_latent_primary_bpm,5,8,0.2550821073629466,0.7359272226378755,0.7948889656751016,203,527,0.8333333333333333,0.9367541766109785,False
ae64_latent_primary_bpm,6,8,0.1909884942827628,0.7628372787352872,0.8280009923641584,177,419,0.8797840875480626,0.9468973747016707,False
ae64_latent_primary_bpm,7,8,0.22767783991735832,0.6421876619403529,0.7286322565574276,149,413,0.7752895752895752,0.8979713603818615,False
ae64_latent_primary_bpm,8,8,0.20921169807288142,0.6165335471263779,0.7115950795342549,156,369,0.7659183673469387,0.8979713603818615,False
ae64_latent_primary_bpm,9,8,0.17860791507854523,0.6192008371372121,0.7547758609892922,117,306,0.7976124338624339,0.8651551312649165,False
ae64_latent_primary_bpm,10,8,0.15115876464930716,0.6828883132503337,0.7739330104313679,118,268,0.8039240264185896,0.9063245823389021,False
ae64_latent_primary_bpm,11,8,0.1507961386385495,0.5606576456609705,0.7051406867343301,10,249,0.6960034013605443,0.8132458233890215,False
ae64_latent_primary_bpm,12,8,0.16550493356605991,0.524597533030633,0.6611877191735402,48,191,0.6520589318600368,0.8174224343675418,False
