rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_seed0only,2,20,0.1093997791472233,0.9636807242988624,0.9706129824109541,799,877,0.9847876227597723,1.0,False
ae64_latent_seed0only,3,20,0.17260428169415454,0.9048555211479904,0.9188720368136671,464,671,0.9597954553162886,0.9964200477326969,True
ae64_latent_seed0only,4,20,0.29915363516546145,0.7096963024444708,0.7675729056238692,339,553,0.8010872603703486,0.9492840095465394,False
ae64_latent_seed0only,5,20,0.3490293164250347,0.4914741437892108,0.6600970040405822,99,655,0.5915115377625803,0.7983293556085919,False
ae64_latent_seed0only,6,20,0.2306636269725359,0.6548649621865653,0.746611648035587,174,350,0.8097115955661014,0.8770883054892601,False
ae64_latent_seed0only,7,20,0.21621415595055749,0.6735950513470567,0.7489872549582547,167,370,0.7924409633310878,0.9075178997613366,False
ae64_latent_seed0only,8,20,0.1270915114166637,0.7765135418252197,0.8369434290189276,133,291,0.8742801221480236,0.948090692124105,False
ae64_latent_seed0only,9,20,0.15259786983934742,0.690087502385344,0.7831768059743192,127,273,0.8268386939437438,0.918854415274463,False
ae64_latent_seed0only,10,20,0.1790424963488049,0.5467180445733758,0.6791262956006239,42,271,0.6806542434496714,0.8275656324582339,False
ae64_latent_seed0only,11,20,0.17470879492751043,0.5215830979544432,0.6677755530616328,90,253,0.657543609303318,0.8066825775656324,False
ae64_latent_seed0only,12,20,0.16174259965091012,0.539438838817085,0.6808407401530229,85,227,0.6667702412849432,0.8168257756563246,False
