rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_umap5,2,40,0.32134292736793363,0.8545964643375922,0.8922593897920674,692,984,0.9337386448601986,0.9850835322195705,False
ae64_umap5,3,40,0.37625262707940016,0.7103971356727462,0.7976515122208748,420,754,0.8616536321558416,0.9504773269689738,True
ae64_umap5,4,40,0.4049969721796744,0.5742069325201707,0.7031647040091666,188,624,0.7280512503445314,0.9128878281622912,False
ae64_umap5,5,40,0.39682256972892105,0.5563912616794585,0.6644974826115504,198,619,0.7047531461464996,0.8926014319809069,False
ae64_umap5,6,40,0.39846827912941263,0.4198683735020157,0.6065573465107247,4,581,0.6106332068456447,0.7846062052505967,False
ae64_umap5,7,40,0.3601902183592776,0.4381525284185212,0.6551966831158652,93,416,0.6306553361653873,0.772673031026253,False
ae64_umap5,8,40,0.33446870658639977,0.37773032739333406,0.6168491114731731,1,685,0.4972916360807904,0.4946300715990454,False
ae64_umap5,9,40,0.3029416164998397,0.3786501302842371,0.5716793167119252,4,354,0.5608443949459845,0.630071599045346,False
ae64_umap5,10,40,0.2743005735047911,0.3735110273467503,0.5812987735992726,37,300,0.5549150518234061,0.6294749403341289,False
ae64_umap5,11,40,0.2538923520820717,0.3779910178962642,0.5904887871474741,3,365,0.5040891573477058,0.5077565632458234,False
ae64_umap5,12,40,0.24348662415844405,0.35441753361789463,0.5851701021735959,8,396,0.4529970787262637,0.4146778042959427,False
