rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
raw_null1_latent,2,8,0.02733587432764578,0.9865212317011883,0.9896305598345296,793,883,0.9957491582491582,1.0,False
raw_null1_latent,3,8,0.11812773839632387,0.9473907127104031,0.9595142515792041,425,777,0.9746993127147766,0.9982100238663485,True
raw_null1_latent,4,8,0.07549175364228974,0.9360542304978099,0.951445318540659,262,606,0.9759386068476976,0.9934367541766109,False
raw_null1_latent,5,8,0.20649948348947386,0.8167003318721241,0.8728609424162175,242,440,0.9057555813653374,0.9677804295942721,False
raw_null1_latent,6,8,0.06431161614362554,0.9253749561194159,0.9464639619374647,121,353,0.9711108277042875,0.9904534606205251,False
raw_null1_latent,7,8,0.11867844548142344,0.8264269329551294,0.8857501828712003,116,310,0.9230312837108953,0.9671837708830548,False
raw_null1_latent,8,8,0.1934192996829694,0.6169076260024586,0.7469966908475913,71,285,0.7330605468252553,0.9003579952267303,False
raw_null1_latent,9,8,0.1892658426245859,0.5599098044068447,0.7013007239495427,73,306,0.7152460317460316,0.837708830548926,False
raw_null1_latent,10,8,0.1815224593025327,0.5689450088353042,0.6984456006399363,98,208,0.7243008314436887,0.8568019093078759,False
raw_null1_latent,11,8,0.17110034552773126,0.5608501630525968,0.6954275970559392,89,241,0.7028322784810127,0.863961813842482,False
raw_null1_latent,12,8,0.1599358814519289,0.5077608266386708,0.6653436723915345,99,218,0.6642418257625631,0.8466587112171837,False
