rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
summary_copula0_latent,2,8,0.018901435543048482,0.990456826566492,0.99317466777219,638,1038,0.9964159434265509,0.9976133651551312,False
summary_copula0_latent,3,8,0.07940369750293877,0.9460417006070972,0.9607650550788306,506,635,0.9795238095238096,0.9940334128878282,True
summary_copula0_latent,4,8,0.1332939123000748,0.8954842187914648,0.9190947218702523,379,482,0.9517857142857143,0.9946300715990454,False
summary_copula0_latent,5,8,0.1467816051009867,0.818748888290634,0.8730223259249396,267,427,0.9133282364933741,0.9653937947494033,False
summary_copula0_latent,6,8,0.27438107790403593,0.5812782917304959,0.6915829358695817,204,350,0.7347477235408268,0.8866348448687351,False
summary_copula0_latent,7,8,0.2050496918747551,0.6838565911673676,0.788855245181564,76,360,0.8127929677377894,0.9134844868735084,False
summary_copula0_latent,8,8,0.16039682256972893,0.7738004701986044,0.8379126487117996,67,307,0.8671736268841628,0.9671837708830548,False
summary_copula0_latent,9,8,0.18908773554661062,0.6113581144715967,0.7452703235045361,66,317,0.7411512027491408,0.8764916467780429,False
summary_copula0_latent,10,8,0.18591173013215545,0.5920331255961769,0.7009515733841712,67,254,0.7165476190476189,0.8741050119331742,False
summary_copula0_latent,11,8,0.1695785986535105,0.5626332115362032,0.6850902388980313,67,215,0.7177278186925458,0.8556085918854416,False
summary_copula0_latent,12,8,0.18061340077654686,0.5172241898069841,0.6676860086351266,36,227,0.6582615019692089,0.7977326968973747,False
