rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
summary_latent_debut1980_2005,2,8,0.054446453944014435,0.9756806520287487,0.9834436188857706,587,850,0.9884121375287453,1.0,False
summary_latent_debut1980_2005,3,8,0.15684951820470922,0.9011501455927251,0.9308577281564352,410,577,0.9433118386243388,0.988865692414753,True
summary_latent_debut1980_2005,4,8,0.1367596916355065,0.8731669303671247,0.9159232098281301,262,502,0.9394496720844027,0.9839944328462074,False
summary_latent_debut1980_2005,5,8,0.16483000990534674,0.7924594433504402,0.8500501437191555,233,429,0.9246202791461412,0.9693806541405706,False
summary_latent_debut1980_2005,6,8,0.1766175663861767,0.8223083292411889,0.8717470838786001,119,383,0.8953191224133632,0.9756437021572721,False
summary_latent_debut1980_2005,7,8,0.10859729822459743,0.8419553024556111,0.8843369511360166,108,296,0.9323529411764706,0.9735560194850382,False
summary_latent_debut1980_2005,8,8,0.1030873279406377,0.8509763932029969,0.8798057328863449,101,282,0.9308690012970169,0.9770354906054279,False
summary_latent_debut1980_2005,9,8,0.18285153804254065,0.6369224369917665,0.7454412066302184,4,289,0.7524422268907562,0.9039665970772442,False
summary_latent_debut1980_2005,10,8,0.18898568086174578,0.6022077819856222,0.72863660896806,41,211,0.7429906542056075,0.9081419624217119,False
summary_latent_debut1980_2005,11,8,0.1860693219198927,0.5648957630840566,0.7118684551663645,37,233,0.7047619047619047,0.8775226165622826,False
summary_latent_debut1980_2005,12,8,0.17233655693248276,0.5610913255361537,0.7087894061117384,37,209,0.7086527293844366,0.860125260960334,False
