rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
summary_latent_original2025,2,8,0.04290258048731344,0.9806234396177357,0.9865450332142095,685,1064,0.9911839806477624,0.9977129788450543,False
summary_latent_original2025,3,8,0.15497446726668263,0.921643318349775,0.9352856542407949,442,732,0.9675688880203245,0.9925671812464265,True
summary_latent_original2025,4,8,0.13661353398411383,0.9033735349537452,0.9270587946572252,175,658,0.9528484453141988,0.9919954259576901,False
summary_latent_original2025,5,8,0.09736914065310939,0.9213856800678082,0.9222395027473492,96,498,0.9717528735632184,0.9931389365351629,False
summary_latent_original2025,6,8,0.1397843553622665,0.8519663116587592,0.8831120010083778,83,468,0.948996913580247,0.9725557461406518,False
summary_latent_original2025,7,8,0.16236999763186025,0.7992367280319586,0.8364470362272831,22,491,0.8873284907183213,0.9634076615208691,False
summary_latent_original2025,8,8,0.10349948254183823,0.8689142962904087,0.8853517740359135,24,379,0.9425410872313528,0.9817038307604345,False
summary_latent_original2025,9,8,0.20652141203930852,0.6875392618062797,0.7661192292022851,18,352,0.7967418546365915,0.9473985134362493,False
summary_latent_original2025,10,8,0.14746968846532768,0.7055398257721034,0.7830712676157516,22,357,0.827304964539007,0.9416809605488851,False
summary_latent_original2025,11,8,0.15167215525576563,0.7304504827310551,0.7726910432407064,20,304,0.8595238095238096,0.9502572898799314,False
summary_latent_original2025,12,8,0.17162536814106263,0.5794809500399406,0.6887677846849842,1,371,0.710724043715847,0.8564894225271584,False
