rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
summary_null1_latent,2,8,0.026832899939443593,0.9895860480630221,0.9918384893708003,819,857,0.996179706601467,0.9994033412887828,False
summary_null1_latent,3,8,0.2539899547608022,0.8160671873419446,0.8756816358385526,454,720,0.9089272574371912,0.9826968973747017,False
summary_null1_latent,4,8,0.07581305881095715,0.9344424865589368,0.949795021216681,340,454,0.9737607115739235,0.9886634844868735,True
summary_null1_latent,5,8,0.20413279663733835,0.7533719261266447,0.8163765574292065,289,399,0.8531982942430704,0.9451073985680191,False
summary_null1_latent,6,8,0.2899540483738824,0.5667233427236463,0.6900996162348002,234,338,0.7011123998450902,0.8818615751789977,False
summary_null1_latent,7,8,0.23573825383820754,0.6024802295299648,0.716056106345197,155,299,0.7174153121677047,0.9254176610978521,False
summary_null1_latent,8,8,0.22481957753001106,0.5424599584257129,0.6783176057336311,147,242,0.6981057465432465,0.8532219570405728,False
summary_null1_latent,9,8,0.21331029815124852,0.5057915971259926,0.6641991056342584,145,294,0.6944130575807748,0.785799522673031,False
summary_null1_latent,10,8,0.20630142841876536,0.4587293350858597,0.6202819761056867,117,248,0.628889111824505,0.7768496420047732,False
summary_null1_latent,11,8,0.18652655576532612,0.48408477182538995,0.643497110396059,69,228,0.6336808694996987,0.7350835322195705,False
summary_null1_latent,12,8,0.17529654828482885,0.4686202883193729,0.6271334401402707,76,279,0.6215617715617715,0.7595465393794749,False
