player_id,draft_year,pick,round,n_match
abdelal01,1990.0,25.0,1.0,15
abdulka01,,,,0
abdulma02,1990.0,3.0,1.0,15
abdulta01,1997.0,11.0,1.0,15
abdursh01,1996.0,3.0,1.0,15
abernto01,1976.0,43.0,3.0,15
acresma01,1985.0,40.0,2.0,15
adamsal01,,,,0
adamsmi01,1985.0,66.0,3.0,15
addisra01,1986.0,39.0,2.0,15
adrieje01,,,,0
afflaar01,2007.0,27.0,1.0,15
agerma01,2006.0,28.0,1.0,15
aguirma01,1981.0,1.0,1.0,15
aingeda01,1981.0,31.0,2.0,15
ajincal01,2008.0,20.0,1.0,15
alarima01,1986.0,18.0,1.0,15
aldrico01,2010.0,11.0,1.0,15
aldrila01,2006.0,2.0,1.0,15
alexaco01,1995.0,29.0,1.0,15
alexaco02,2000.0,13.0,1.0,15
alexavi01,1991.0,17.0,1.0,15
alforst01,1987.0,26.0,2.0,15
allenje01,1995.0,49.0,2.0,15
allenma01,,,,0
allenra02,1996.0,5.0,1.0,15
allento01,2004.0,25.0,1.0,15
alstode01,1994.0,33.0,2.0,15
alstora01,1998.0,39.0,2.0,15
amaecjo01,,,,0
amayaas01,,,,0
aminual01,2010.0,8.0,1.0,15
amundlo01,,,,0
anderal01,,,,0
anderch01,,,,0
anderda03,,,,0
anderde01,1997.0,13.0,1.0,15
andergr01,1987.0,23.0,1.0,15
anderja01,2010.0,20.0,1.0,15
anderjj01,,,,0
anderke01,1991.0,2.0,1.0,15
anderni01,1989.0,11.0,1.0,15
anderri01,1982.0,32.0,2.0,15
anderro01,1984.0,27.0,2.0,15
anderry01,2008.0,21.0,1.0,15
andersh01,1996.0,54.0,2.0,15
anderwi01,1988.0,10.0,1.0,15
anslemi01,1989.0,37.0,2.0,15
anstech01,1997.0,18.0,1.0,15
anthoca01,2003.0,3.0,1.0,15
anthogr01,1991.0,12.0,1.0,15
anthojo01,,,,0
araujra01,2004.0,8.0,1.0,15
architi01,,,,0
arenagi01,2001.0,30.0,2.0,15
arizatr01,2004.0,43.0,2.0,15
armstbj01,1989.0,18.0,1.0,15
armstbr01,2001.0,23.0,1.0,15
armstda01,,,,0
armsthi01,2006.0,12.0,1.0,15
arroyca01,,,,0
artesro01,1999.0,16.0,1.0,15
arthuda01,2008.0,27.0,1.0,15
asikom01,2008.0,36.0,2.0,15
askewvi01,1987.0,39.0,2.0,15
askinke01,,,,0
atkinch01,,,,0
augmost01,1991.0,9.0,1.0,15
augusdj01,2008.0,9.0,1.0,15
austiis01,,,,0
aventan01,1991.0,15.0,1.0,15
averywi01,1999.0,14.0,1.0,15
awtrede01,,,,0
azubuke01,,,,0
babbilu01,2010.0,16.0,1.0,15
bagarda01,2000.0,24.0,1.0,15
baglejo01,1982.0,12.0,1.0,15
baileja01,1979.0,6.0,1.0,15
baileth01,1983.0,7.0,1.0,15
baileto01,1998.0,45.0,2.0,15
bakervi01,1993.0,8.0,1.0,15
balkmre01,2006.0,20.0,1.0,15
ballagr01,1977.0,4.0,1.0,15
banksge01,1981.0,28.0,2.0,15
banksma01,2003.0,13.0,1.0,15
bannike01,1984.0,156.0,7.0,15
bantomi01,,,,0
barbole01,2003.0,28.0,1.0,15
bareajo01,,,,0
bargnan01,2006.0,1.0,1.0,15
barklch01,1984.0,5.0,1.0,15
barnema02,2002.0,45.0,2.0,15
barrean01,,,,0
barroda01,1989.0,16.0,1.0,15
barroea01,,,,0
barrybr01,1995.0,15.0,1.0,15
barrydr01,1996.0,57.0,2.0,15
barryjo01,1992.0,21.0,1.0,15
bassbr01,2005.0,33.0,2.0,15
bastoma01,,,,0
batesbi01,,,,0
battish01,2001.0,6.0,1.0,15
battito01,1997.0,5.0,1.0,15
battljo01,1985.0,84.0,4.0,15
battlke01,1989.0,27.0,1.0,15
batumni01,2008.0,25.0,1.0,15
baxtelo01,2002.0,43.0,2.0,15
bayleje01,2008.0,11.0,1.0,15
beaslmi01,2008.0,2.0,1.0,15
beaubro01,2009.0,25.0,1.0,15
beckco01,,,,0
bedfowi01,1986.0,6.0,1.0,15
belinma01,2007.0,18.0,1.0,15
bellch01,,,,0
bellra01,,,,0
bendejo01,1999.0,5.0,1.0,15
