n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
30,0.21029082774049218,0.493137389421463,2372.820406340347,0.6419466829831723,0.19347381920829737,2,10,0.0,15,5,0.7808833600910717,0.1454592897470774
28,0.3042505592841163,0.5713251233100891,3094.511991881606,0.5677052873052916,0.2809229757111281,2,10,0.0,15,10,0.7644236007112785,0.04560337453439482
11,0.16331096196868009,0.4083884060382843,420.96094774123503,0.5055661463256398,0.08920868446843959,2,10,0.0,15,15,0.7043610670892622,0.4462253089242033
10,0.05741983594332588,0.3936164677143097,471.92209352709403,0.6522045294879131,-0.03426575506152408,2,10,0.0,20,5,0.7390087287268581,0.025722739376569253
21,0.2826249067859806,0.5301262140274048,2820.2262973667384,0.6143501098602819,0.27536946021115755,2,10,0.0,20,10,0.8047314600683165,0.14095841898789932
10,0.17598806860551827,0.40542617440223694,448.26429436841005,0.5147098054955879,0.07990667803040294,2,10,0.0,20,15,0.7028439350155211,0.4376963022328198
10,0.05741983594332588,0.3936164677143097,471.92209352709403,0.6522045294879131,-0.03426575506152408,2,10,0.0,25,5,0.7390087287268581,0.025722739376569253
20,0.29828486204325133,0.5360680222511292,2892.791777380587,0.6205005334643926,0.2622167610096595,2,10,0.0,25,10,0.8409247447246939,0.12802362988187868
10,0.17598806860551827,0.40542617440223694,448.26429436841005,0.5147098054955879,0.07990667803040294,2,10,0.0,25,15,0.7028439350155211,0.4376963022328198
9,0.040268456375838924,0.4030114710330963,547.0132319893512,0.7302858170226484,-0.011865393642818703,2,10,0.0,30,5,0.7530725069411479,0.019505752792655335
16,0.28560775540641314,0.49367380142211914,2264.4583013484134,0.6586770314489998,0.2517511720753705,2,10,0.0,30,10,0.8383687435913938,0.16976495604352093
8,0.14914243102162567,0.3702623248100281,593.1105813813873,0.6383837068809469,0.042773805795408744,2,10,0.0,30,15,0.7201076775531552,0.4626653005166761
6,0.049217002237136466,0.3687092661857605,721.7932156128479,0.7823685649412814,-0.08352202590284294,2,10,0.0,40,5,0.702720610818008,0.02631471208614798
8,0.19164802386278895,0.4629993438720703,1484.8556977875046,0.6647510142760121,0.052445466846937336,2,10,0.0,40,10,0.8104410642007243,0.17040944742616904
6,0.15958240119313946,0.43739521503448486,729.391740036706,0.6123050642948669,0.023929814090259807,2,10,0.0,40,15,0.6806737359009015,0.0770644406097043
5,0.04548844146159582,0.37845295667648315,888.3532279124964,0.7229886940237618,-0.10163545267726568,2,10,0.0,50,5,0.7219567338542433,0.025488917289520782
2,0.010439970171513796,0.2409045696258545,223.97217042742898,0.8485317526017696,-0.3136614104646255,2,10,0.0,50,10,0.565400911435167,0.012632943323238981
2,0.035794183445190156,0.23972666263580322,206.97156690559854,0.843362904948616,-0.2882934720429652,2,10,0.0,50,15,0.5559179010523734,0.0007417340910796343
32,0.23788217747949292,0.4650236666202545,1880.4030538868872,0.6664863442656705,0.23094509626014023,2,10,0.1,15,5,0.756429202137879,0.16709387058325553
24,0.3706189410887398,0.5170295238494873,1805.9318277921302,0.6147988747886391,0.2589513424078021,2,10,0.1,15,10,0.7569619290300142,0.17121774192117842
7,0.1297539149888143,0.3774363398551941,316.14103401826304,0.5107404810006483,-0.08608060086486248,2,10,0.1,15,15,0.6393033798834611,0.5072521685886122
26,0.24384787472035793,0.45386338233947754,1805.0958994305406,0.703840633196188,0.19006417804626843,2,10,0.1,20,5,0.7454347348778683,0.14650180892561296
16,0.2714392244593587,0.37915077805519104,1136.0679930402703,0.6525721699333114,0.08779549711605798,2,10,0.1,20,10,0.7390476486744981,0.12423191095322221
10,0.2721849366144668,0.4533410966396332,640.0805657132327,0.4884134433714401,0.01451625594210193,2,10,0.1,20,15,0.7003537400829283,0.05767632399356796
16,0.2244593586875466,0.3804890513420105,1260.2782909078483,0.7616455830384169,0.0544640700660538,2,10,0.1,25,5,0.7657633791858225,0.2865220582539748
14,0.2751677852348993,0.42270487546920776,1222.9702623005574,0.6454275467600344,0.11594868213451902,2,10,0.1,25,10,0.7531524219799672,0.09965409203725474
6,0.14615958240119314,0.3968922197818756,357.0557887240236,0.5195966272413807,0.04530667121125943,2,10,0.1,25,15,0.6413915371193257,0.4959289145796194
15,0.24384787472035793,0.39170610904693604,1306.093370448075,0.7713075091467635,0.05760038256670152,2,10,0.1,30,5,0.7662108909857406,0.27237004297366885
7,0.07755406413124534,0.32174861431121826,335.68117249663936,0.6756402301513013,-0.1192648825071477,2,10,0.1,30,10,0.6485641901569731,0.014155332630577593
5,0.14093959731543623,0.40446901321411133,447.04723285040757,0.5588191982297643,0.01969559087607159,2,10,0.1,30,15,0.6530931960725266,0.04656511536935454
7,0.15659955257270694,0.3207947611808777,679.4850628893918,0.6524697065330302,-0.23144790206767632,2,10,0.1,40,5,0.6590878546942588,0.1296201413812526
7,0.07755406413124534,0.32174861431121826,335.68117249663936,0.6756402301513013,-0.1192648825071477,2,10,0.1,40,10,0.6485641901569731,0.014155332630577593
4,0.1081282624906786,0.40479791164398193,648.0919011766987,0.5778678491718637,-0.09538438934415258,2,10,0.1,40,15,0.6030903981170634,0.11734023198510543
6,0.14466815809097688,0.3106797933578491,812.2509953250076,0.7016800035875187,-0.29355811650080915,2,10,0.1,50,5,0.6744266211088851,0.06797847270332116
4,0.06711409395973154,0.38265836238861084,650.0316359127448,0.5997454955841904,-0.14312813642716768,2,10,0.1,50,10,0.6122676897616466,0.005267177952230391
4,0.1081282624906786,0.40479791164398193,648.0919011766987,0.5778678491718637,-0.09538438934415258,2,10,0.1,50,15,0.6030903981170634,0.11734023198510543
27,0.19835943325876212,0.45734935998916626,1820.939095715364,0.624508222876528,0.26503275959977074,2,15,0.0,15,5,0.7611884835922826,0.20378114867927544
22,0.2662192393736018,0.4656122326850891,1899.9963203982531,0.6001968998857348,0.22595475205134563,2,15,0.0,15,10,0.7899756951305081,0.1410402303775046
13,0.18791946308724833,0.34123310446739197,394.97778811467504,0.48827274845439,-0.03787532648195232,2,15,0.0,15,15,0.6843069055554019,0.009352253162730197
21,0.15137956748695003,0.42311710119247437,1950.8545639209358,0.771199863229491,0.16305562058559447,2,15,0.0,20,5,0.8231391513248798,0.17447551801814243
18,0.28635346756152125,0.5020427703857422,2206.8226777915384,0.6039270711419494,0.22808505655428185,2,15,0.0,20,10,0.839400375289405,0.15148065261163154
