season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards,all_star,all_nba,mvp_top5
1991,abdelal01,Alaa Abdelnaby,22.0,POR,PF,43.0,0.0,290.0,13.1,0.499,22.1,0.5,-4.6,-0.2,,False,False,False
1992,abdelal01,Alaa Abdelnaby,23.0,POR,PF,71.0,1.0,934.0,13.5,0.533,20.6,2.1,-2.6,-0.1,,False,False,False
1993,abdelal01,Alaa Abdelnaby,24.0,2TM,PF,75.0,52.0,1311.0,13.2,0.551,20.5,2.0,-3.9,-0.6,,False,False,False
1994,abdelal01,Alaa Abdelnaby,25.0,BOS,PF,13.0,0.0,159.0,9.2,0.485,22.6,-0.1,-7.4,-0.2,,False,False,False
1995,abdelal01,Alaa Abdelnaby,26.0,2TM,PF,54.0,0.0,506.0,12.6,0.519,25.6,0.3,-4.3,-0.3,,False,False,False
1980,abdulka01,Kareem Abdul-Jabbar,32.0,LAL,C,82.0,,3143.0,25.3,0.639,24.1,14.8,7.2,7.3,MVP-1;AS;NBA1;DEF1,True,True,True
1981,abdulka01,Kareem Abdul-Jabbar,33.0,LAL,C,80.0,,2976.0,25.5,0.616,26.3,14.3,6.1,6.1,MVP-3;AS;NBA1;DEF1,True,True,True
1982,abdulka01,Kareem Abdul-Jabbar,34.0,LAL,C,76.0,76.0,2677.0,23.4,0.608,25.6,10.7,5.0,4.7,MVP-10;AS,True,False,False
1983,abdulka01,Kareem Abdul-Jabbar,35.0,LAL,C,79.0,79.0,2554.0,23.6,0.619,24.6,10.9,4.5,4.2,MVP-10;AS;NBA2,True,True,False
1984,abdulka01,Kareem Abdul-Jabbar,36.0,LAL,C,80.0,80.0,2622.0,21.3,0.608,25.1,8.9,3.0,3.3,MVP-4;AS;NBA1;DEF2,True,True,True
1985,abdulka01,Kareem Abdul-Jabbar,37.0,LAL,C,79.0,79.0,2630.0,22.9,0.628,24.3,11.2,5.1,4.8,MVP-4;AS;NBA2,True,True,True
1986,abdulka01,Kareem Abdul-Jabbar,38.0,LAL,C,79.0,79.0,2629.0,22.7,0.603,26.6,10.8,5.4,4.9,MVP-5;AS;NBA1,True,True,True
1987,abdulka01,Kareem Abdul-Jabbar,39.0,LAL,C,78.0,78.0,2441.0,17.9,0.597,22.1,7.5,1.6,2.2,AS,True,False,False
1988,abdulka01,Kareem Abdul-Jabbar,40.0,LAL,C,80.0,80.0,2308.0,15.8,0.57,21.4,5.3,0.0,1.2,AS,True,False,False
1989,abdulka01,Kareem Abdul-Jabbar,41.0,LAL,C,74.0,74.0,1695.0,12.9,0.511,20.1,2.9,-2.1,0.0,AS,True,False,False
1991,abdulma02,Mahmoud Abdul-Rauf,21.0,DEN,PG,67.0,19.0,1505.0,12.2,0.448,27.2,-1.0,-5.0,-1.1,,False,False,False
1992,abdulma02,Mahmoud Abdul-Rauf,22.0,DEN,PG,81.0,11.0,1538.0,12.6,0.469,26.7,0.6,-3.1,-0.4,,False,False,False
1993,abdulma02,Mahmoud Abdul-Rauf,23.0,DEN,PG,81.0,81.0,2710.0,15.6,0.515,25.5,5.1,-0.1,1.3,MIP-1,False,False,False
1994,abdulma02,Mahmoud Abdul-Rauf,24.0,DEN,PG,80.0,78.0,2617.0,16.7,0.521,24.9,6.8,0.8,1.9,,False,False,False
1995,abdulma02,Mahmoud Abdul-Rauf,25.0,DEN,PG,73.0,43.0,2082.0,17.8,0.543,25.8,5.0,1.2,1.7,,False,False,False
1996,abdulma02,Mahmoud Abdul-Rauf,26.0,DEN,PG,57.0,53.0,2029.0,18.6,0.535,25.1,5.5,1.9,1.9,,False,False,False
1997,abdulma02,Mahmoud Abdul-Rauf,27.0,SAC,PG,75.0,51.0,2131.0,13.2,0.524,23.2,2.7,-2.6,-0.4,,False,False,False
1998,abdulma02,Mahmoud Abdul-Rauf,28.0,SAC,PG,31.0,0.0,530.0,10.5,0.405,25.1,-0.3,-4.7,-0.4,,False,False,False
2001,abdulma02,Mahmoud Abdul-Rauf,31.0,VAN,PG,41.0,0.0,486.0,16.7,0.514,26.8,0.7,-1.0,0.1,,False,False,False
1998,abdulta01,Tariq Abdul-Wahad,23.0,SAC,SG,59.0,16.0,959.0,10.1,0.456,22.1,-0.2,-4.8,-0.7,,False,False,False
1999,abdulta01,Tariq Abdul-Wahad,24.0,SAC,SG,49.0,49.0,1205.0,11.8,0.486,19.0,1.4,-3.0,-0.3,,False,False,False
2000,abdulta01,Tariq Abdul-Wahad,25.0,2TM,SG,61.0,56.0,1578.0,13.6,0.477,22.5,2.2,-1.2,0.3,,False,False,False
2001,abdulta01,Tariq Abdul-Wahad,26.0,DEN,SG,29.0,12.0,420.0,5.8,0.438,17.1,-0.4,-5.8,-0.4,,False,False,False
2002,abdulta01,Tariq Abdul-Wahad,27.0,2TM,SG,24.0,12.0,441.0,9.8,0.418,19.1,0.0,-3.7,-0.2,,False,False,False
2003,abdulta01,Tariq Abdul-Wahad,28.0,DAL,SG,14.0,0.0,204.0,12.4,0.47,15.0,0.4,-1.4,0.0,,False,False,False
1997,abdursh01,Shareef Abdur-Rahim,20.0,VAN,PF,80.0,71.0,2802.0,17.4,0.518,27.6,2.9,-1.8,0.2,ROY-3,False,False,False
1998,abdursh01,Shareef Abdur-Rahim,21.0,VAN,SF,82.0,82.0,2950.0,21.1,0.562,28.4,6.9,1.6,2.6,,False,False,False
1999,abdursh01,Shareef Abdur-Rahim,22.0,VAN,SF,50.0,50.0,2021.0,20.7,0.53,28.9,4.6,2.0,2.1,,False,False,False
2000,abdursh01,Shareef Abdur-Rahim,23.0,VAN,SF,82.0,82.0,3223.0,20.2,0.547,25.0,8.8,2.2,3.4,,False,False,False
2001,abdursh01,Shareef Abdur-Rahim,24.0,VAN,SF,81.0,81.0,3241.0,19.1,0.549,24.6,8.5,1.8,3.1,,False,False,False
2002,abdursh01,Shareef Abdur-Rahim,25.0,ATL,PF,77.0,77.0,2980.0,19.8,0.536,27.0,7.2,1.7,2.8,AS,True,False,False
2003,abdursh01,Shareef Abdur-Rahim,26.0,ATL,PF,81.0,81.0,3087.0,19.9,0.566,24.2,9.7,1.6,2.8,,False,False,False
2004,abdursh01,Shareef Abdur-Rahim,27.0,2TM,PF,85.0,56.0,2684.0,19.9,0.557,24.4,8.1,1.6,2.4,,False,False,False
2005,abdursh01,Shareef Abdur-Rahim,28.0,POR,PF,54.0,49.0,1867.0,18.7,0.581,22.1,5.4,0.9,1.4,,False,False,False
2006,abdursh01,Shareef Abdur-Rahim,29.0,SAC,PF,72.0,30.0,1961.0,17.2,0.588,20.1,6.2,0.9,1.4,6MOY-10,False,False,False
2007,abdursh01,Shareef Abdur-Rahim,30.0,SAC,C,80.0,45.0,2015.0,13.1,0.524,19.5,2.8,-2.5,-0.2,,False,False,False
2008,abdursh01,Shareef Abdur-Rahim,31.0,SAC,PF,6.0,0.0,51.0,5.5,0.317,14.7,0.0,-6.9,-0.1,,False,False,False
1980,abernto01,Tom Abernethy,25.0,GSW,PF,67.0,,1222.0,11.0,0.511,13.3,2.0,-1.2,0.2,,False,False,False
1981,abernto01,Tom Abernethy,26.0,2TM,SF,39.0,0.0,298.0,8.0,0.459,10.3,0.4,-2.6,0.0,,False,False,False
2017,abrinal01,Álex Abrines,23.0,OKC,SG,68.0,6.0,1055.0,10.1,0.56,15.9,2.1,-1.6,0.1,,False,False,False
2018,abrinal01,Álex Abrines,24.0,OKC,SG,75.0,8.0,1134.0,9.0,0.567,12.7,2.2,-1.5,0.1,,False,False,False
2019,abrinal01,Álex Abrines,25.0,OKC,SG,31.0,2.0,588.0,6.3,0.507,12.2,0.6,-3.3,-0.2,,False,False,False
2021,achiupr01,Precious Achiuwa,21.0,MIA,PF,61.0,4.0,737.0,14.2,0.55,19.5,1.3,-4.1,-0.4,,False,False,False
2022,achiupr01,Precious Achiuwa,22.0,TOR,C,73.0,28.0,1725.0,12.7,0.503,18.5,2.5,-2.6,-0.2,,False,False,False
2023,achiupr01,Precious Achiuwa,23.0,TOR,C,55.0,12.0,1140.0,15.2,0.554,19.4,2.2,-2.3,-0.1,,False,False,False
2024,achiupr01,Precious Achiuwa,24.0,2TM,C,74.0,18.0,1624.0,14.6,0.545,15.9,3.4,-1.4,0.2,,False,False,False
2025,achiupr01,Precious Achiuwa,25.0,NYK,C,57.0,10.0,1170.0,13.6,0.53,14.9,2.3,-1.9,0.0,,False,False,False
2026,achiupr01,Precious Achiuwa,26.0,SAC,C,73.0,57.0,1745.0,16.2,0.558,17.6,2.9,-1.6,0.2,,False,False,False
2006,ackeral01,Alex Acker,23.0,DET,SG,5.0,0.0,35.0,-2.4,0.281,27.2,-0.2,-15.3,-0.1,,False,False,False
2009,ackeral01,Alex Acker,26.0,2TM,SG,25.0,0.0,199.0,10.4,0.448,20.1,0.0,-3.6,-0.1,,False,False,False
1988,acresma01,Mark Acres,25.0,BOS,C,79.0,5.0,1151.0,9.3,0.57,11.4,2.2,-2.8,-0.2,,False,False,False
1989,acresma01,Mark Acres,26.0,BOS,C,62.0,0.0,632.0,8.2,0.507,10.4,0.9,-3.4,-0.2,,False,False,False
1990,acresma01,Mark Acres,27.0,ORL,C,80.0,50.0,1691.0,8.3,0.536,9.4,1.6,-3.7,-0.7,,False,False,False
1991,acresma01,Mark Acres,28.0,ORL,C,68.0,0.0,1313.0,9.2,0.551,9.3,2.5,-3.0,-0.3,,False,False,False
1992,acresma01,Mark Acres,29.0,ORL,C,68.0,6.0,926.0,10.1,0.576,9.6,1.9,-2.9,-0.2,,False,False,False
1993,acresma01,Mark Acres,30.0,2TM,C,18.0,7.0,269.0,8.9,0.571,11.0,0.3,-5.3,-0.2,,False,False,False
2013,acyqu01,Quincy Acy,22.0,TOR,PF,29.0,0.0,342.0,15.9,0.632,14.7,1.1,0.1,0.2,,False,False,False
2014,acyqu01,Quincy Acy,23.0,2TM,SF,63.0,0.0,847.0,10.1,0.52,10.1,1.5,-1.7,0.1,,False,False,False
2015,acyqu01,Quincy Acy,24.0,NYK,PF,68.0,22.0,1287.0,11.9,0.533,15.5,1.7,-3.1,-0.3,,False,False,False
2016,acyqu01,Quincy Acy,25.0,SAC,PF,59.0,29.0,876.0,14.7,0.629,13.1,2.5,-0.1,0.4,,False,False,False
2017,acyqu01,Quincy Acy,26.0,2TM,PF,38.0,1.0,558.0,11.8,0.565,16.8,0.9,-2.1,0.0,,False,False,False
2018,acyqu01,Quincy Acy,27.0,BRK,PF,70.0,8.0,1359.0,8.2,0.525,14.4,1.0,-2.5,-0.2,,False,False,False
2019,acyqu01,Quincy Acy,28.0,PHO,PF,10.0,0.0,123.0,2.9,0.379,9.2,-0.1,-8.1,-0.2,,False,False,False
1980,adamsal01,Alvan Adams,25.0,PHO,C,75.0,,2168.0,19.2,0.571,21.9,7.0,3.6,3.1,,False,False,False
1981,adamsal01,Alvan Adams,26.0,PHO,C,75.0,,2054.0,20.3,0.567,23.0,7.7,5.1,3.7,,False,False,False
1982,adamsal01,Alvan Adams,27.0,PHO,C,79.0,75.0,2393.0,18.6,0.529,22.8,7.2,3.6,3.4,,False,False,False
1983,adamsal01,Alvan Adams,28.0,PHO,C,80.0,75.0,2447.0,16.8,0.527,22.0,6.5,2.5,2.8,,False,False,False
1984,adamsal01,Alvan Adams,29.0,PHO,C,70.0,13.0,1452.0,16.6,0.513,21.7,3.3,1.6,1.3,,False,False,False
1985,adamsal01,Alvan Adams,30.0,PHO,PF,82.0,69.0,2136.0,19.8,0.578,23.6,6.8,4.0,3.2,,False,False,False
1986,adamsal01,Alvan Adams,31.0,PHO,C,78.0,45.0,2005.0,15.3,0.547,19.4,3.9,1.6,1.8,,False,False,False
1987,adamsal01,Alvan Adams,32.0,PHO,C,68.0,40.0,1690.0,14.6,0.546,20.0,2.8,-0.1,0.8,,False,False,False
1988,adamsal01,Alvan Adams,33.0,PHO,C,82.0,25.0,1646.0,13.1,0.543,17.4,2.2,-0.5,0.6,,False,False,False
2007,adamsha01,Hassan Adams,22.0,NJN,SG,61.0,8.0,495.0,13.0,0.577,16.3,1.0,-1.5,0.1,,False,False,False
2009,adamsha01,Hassan Adams,24.0,TOR,SG,12.0,0.0,52.0,0.4,0.352,17.4,-0.2,-9.4,-0.1,,False,False,False
2019,adamsja01,Jaylen Adams,22.0,ATL,PG,34.0,1.0,428.0,7.6,0.474,13.5,0.1,-4.3,-0.2,,False,False,False
2021,adamsja01,Jaylen Adams,24.0,MIL,PG,7.0,0.0,18.0,-6.5,0.125,18.6,-0.1,-19.8,-0.1,,False,False,False
2015,adamsjo01,Jordan Adams,20.0,MEM,SG,30.0,0.0,248.0,12.8,0.489,20.4,0.4,1.4,0.2,,False,False,False
2016,adamsjo01,Jordan Adams,21.0,MEM,SG,2.0,0.0,15.0,17.3,0.427,30.5,0.0,6.9,0.0,,False,False,False
1986,adamsmi01,Michael Adams,23.0,SAC,PG,18.0,0.0,139.0,8.0,0.406,17.5,-0.1,-3.8,-0.1,,False,False,False
1987,adamsmi01,Michael Adams,24.0,WSB,PG,63.0,0.0,1303.0,14.3,0.506,16.3,2.7,1.2,1.0,,False,False,False
1988,adamsmi01,Michael Adams,25.0,DEN,PG,82.0,75.0,2778.0,15.6,0.56,16.2,7.5,2.5,3.1,MVP-14,False,False,False
1989,adamsmi01,Michael Adams,26.0,DEN,PG,77.0,77.0,2787.0,17.5,0.567,19.7,8.3,2.9,3.4,,False,False,False
1990,adamsmi01,Michael Adams,27.0,DEN,PG,79.0,74.0,2690.0,15.4,0.542,18.5,6.9,1.8,2.6,,False,False,False
1991,adamsmi01,Michael Adams,28.0,DEN,PG,66.0,66.0,2346.0,22.3,0.53,28.5,6.3,5.3,4.3,,False,False,False
1992,adamsmi01,Michael Adams,29.0,WSB,PG,78.0,78.0,2795.0,17.1,0.506,24.2,5.3,1.8,2.6,AS,True,False,False
1993,adamsmi01,Michael Adams,30.0,WSB,PG,70.0,70.0,2499.0,15.6,0.543,19.2,4.6,0.0,1.3,,False,False,False
1994,adamsmi01,Michael Adams,31.0,WSB,PG,70.0,67.0,2337.0,14.2,0.52,18.1,3.1,-1.0,0.6,,False,False,False
1995,adamsmi01,Michael Adams,32.0,CHH,PG,29.0,0.0,443.0,17.7,0.583,19.6,1.6,3.3,0.6,,False,False,False
1996,adamsmi01,Michael Adams,33.0,CHH,PG,21.0,3.0,329.0,16.1,0.579,17.0,0.8,2.8,0.4,,False,False,False
2014,adamsst01,Steven Adams,20.0,OKC,C,81.0,20.0,1197.0,11.2,0.541,11.7,2.9,-2.2,-0.1,ROY-7,False,False,False
2015,adamsst01,Steven Adams,21.0,OKC,C,70.0,67.0,1771.0,14.1,0.549,14.3,4.1,-1.3,0.3,,False,False,False
2016,adamsst01,Steven Adams,22.0,OKC,C,80.0,80.0,2014.0,15.5,0.621,12.6,6.5,0.2,1.1,,False,False,False
2017,adamsst01,Steven Adams,23.0,OKC,C,80.0,80.0,2389.0,16.5,0.589,16.2,6.5,-0.2,1.1,,False,False,False
2018,adamsst01,Steven Adams,24.0,OKC,C,76.0,76.0,2487.0,20.6,0.63,16.7,9.7,1.1,2.0,DPOY-12,False,False,False
2019,adamsst01,Steven Adams,25.0,OKC,C,80.0,80.0,2669.0,18.5,0.591,16.4,9.1,1.1,2.1,,False,False,False
2020,adamsst01,Steven Adams,26.0,OKC,C,63.0,63.0,1680.0,20.5,0.604,17.3,6.5,2.9,2.1,,False,False,False
2021,adamsst01,Steven Adams,27.0,NOP,C,58.0,58.0,1605.0,15.1,0.596,11.7,4.0,-0.3,0.7,,False,False,False
2022,adamsst01,Steven Adams,28.0,MEM,C,76.0,75.0,1999.0,17.6,0.56,12.0,6.8,2.0,2.0,,False,False,False
2023,adamsst01,Steven Adams,29.0,MEM,C,42.0,42.0,1133.0,17.5,0.564,14.6,3.4,0.6,0.7,,False,False,False
2025,adamsst01,Steven Adams,31.0,HOU,C,58.0,3.0,794.0,16.6,0.541,13.6,2.3,0.3,0.5,,False,False,False
2026,adamsst01,Steven Adams,32.0,HOU,C,32.0,11.0,730.0,15.8,0.535,12.1,2.1,-0.5,0.3,,False,False,False
1987,addisra01,Rafael Addison,22.0,PHO,SF,62.0,12.0,711.0,11.9,0.5,23.6,0.4,-3.9,-0.3,,False,False,False
1992,addisra01,Rafael Addison,27.0,NJN,SF,76.0,8.0,1175.0,10.9,0.477,17.5,1.5,-2.7,-0.2,,False,False,False
1993,addisra01,Rafael Addison,28.0,NJN,SF,68.0,15.0,1164.0,8.4,0.484,18.2,0.9,-4.8,-0.8,,False,False,False
1995,addisra01,Rafael Addison,30.0,DET,SF,79.0,16.0,1776.0,11.3,0.521,17.8,1.5,-3.3,-0.6,,False,False,False
1996,addisra01,Rafael Addison,31.0,CHH,SF,53.0,0.0,516.0,9.6,0.489,17.7,0.2,-4.9,-0.4,,False,False,False
1997,addisra01,Rafael Addison,32.0,CHH,SF,41.0,3.0,355.0,10.6,0.476,20.1,0.4,-4.4,-0.2,,False,False,False
2018,adebaba01,Bam Adebayo,20.0,MIA,C,69.0,19.0,1368.0,15.7,0.57,15.9,4.2,-0.4,0.6,,False,False,False
2019,adebaba01,Bam Adebayo,21.0,MIA,C,82.0,28.0,1913.0,17.9,0.623,15.8,6.8,1.8,1.8,,False,False,False
2020,adebaba01,Bam Adebayo,22.0,MIA,PF,72.0,72.0,2417.0,20.3,0.598,21.2,8.5,3.4,3.3,DPOY-5;AS;DEF2,True,False,False
2021,adebaba01,Bam Adebayo,23.0,MIA,C,64.0,64.0,2143.0,22.7,0.626,23.7,8.8,4.9,3.7,DPOY-4;DEF2,False,False,False
2022,adebaba01,Bam Adebayo,24.0,MIA,C,56.0,56.0,1825.0,21.8,0.608,25.0,7.2,3.8,2.7,DPOY-4;DEF2,False,False,False
2023,adebaba01,Bam Adebayo,25.0,MIA,C,75.0,75.0,2598.0,20.1,0.592,25.2,7.4,1.5,2.3,DPOY-5;AS;DEF2,True,False,False
2024,adebaba01,Bam Adebayo,26.0,MIA,C,71.0,71.0,2416.0,19.8,0.576,24.9,7.2,2.4,2.7,DPOY-3;AS;DEF1,True,False,False
2025,adebaba01,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,18.9,0.561,23.5,7.5,2.0,2.7,DPOY-10,False,False,False
2026,adebaba01,Bam Adebayo,28.0,MIA,C,73.0,73.0,2365.0,18.7,0.551,25.0,6.4,2.0,2.4,DPOY-11;DEF2,False,False,False
2019,adelde01,Deng Adel,21.0,CLE,SF,19.0,3.0,194.0,2.7,0.424,9.9,-0.2,-7.5,-0.3,,False,False,False
2011,adrieje01,Jeff Adrien,24.0,GSW,PF,23.0,0.0,196.0,11.3,0.457,16.1,0.2,-5.3,-0.2,,False,False,False
2012,adrieje01,Jeff Adrien,25.0,HOU,PF,8.0,0.0,63.0,11.2,0.493,16.8,0.1,-4.3,0.0,,False,False,False
2013,adrieje01,Jeff Adrien,26.0,CHA,PF,52.0,5.0,713.0,13.4,0.493,15.6,1.0,-3.0,-0.2,,False,False,False
2014,adrieje01,Jeff Adrien,27.0,2TM,PF,53.0,12.0,961.0,17.4,0.553,17.3,2.7,-0.9,0.3,,False,False,False
2015,adrieje01,Jeff Adrien,28.0,MIN,PF,17.0,0.0,215.0,14.2,0.494,14.3,0.4,-2.4,0.0,,False,False,False
2008,afflaar01,Arron Afflalo,22.0,DET,SG,75.0,9.0,970.0,10.2,0.494,15.2,1.9,-1.5,0.1,,False,False,False
2009,afflaar01,Arron Afflalo,23.0,DET,SG,74.0,8.0,1234.0,8.9,0.548,14.5,1.8,-2.6,-0.2,,False,False,False
2010,afflaar01,Arron Afflalo,24.0,DEN,SG,82.0,75.0,2221.0,10.9,0.576,14.0,4.3,-0.4,0.9,DPOY-17,False,False,False
2011,afflaar01,Arron Afflalo,25.0,DEN,SG,69.0,69.0,2324.0,13.6,0.62,14.8,6.2,1.4,2.0,,False,False,False
2012,afflaar01,Arron Afflalo,26.0,DEN,SG,62.0,62.0,2086.0,14.7,0.584,19.1,5.3,0.1,1.1,,False,False,False
2013,afflaar01,Arron Afflalo,27.0,ORL,SF,64.0,64.0,2307.0,13.0,0.527,22.5,2.0,-2.9,-0.5,,False,False,False
2014,afflaar01,Arron Afflalo,28.0,ORL,SG,73.0,73.0,2552.0,16.0,0.574,23.3,5.3,-0.2,1.1,,False,False,False
2015,afflaar01,Arron Afflalo,29.0,2TM,SG,78.0,72.0,2502.0,10.7,0.533,19.0,2.6,-2.5,-0.3,,False,False,False
2016,afflaar01,Arron Afflalo,30.0,NYK,SG,71.0,57.0,2371.0,10.9,0.531,17.9,2.7,-2.9,-0.5,,False,False,False
2017,afflaar01,Arron Afflalo,31.0,SAC,SG,61.0,45.0,1580.0,8.9,0.559,14.4,1.4,-3.6,-0.7,,False,False,False
2018,afflaar01,Arron Afflalo,32.0,ORL,SG,53.0,3.0,682.0,5.8,0.516,12.5,0.1,-5.4,-0.6,,False,False,False
2023,agbajoc01,Ochai Agbaji,22.0,UTA,SG,59.0,22.0,1209.0,9.5,0.561,15.8,1.3,-3.0,-0.3,,False,False,False
2024,agbajoc01,Ochai Agbaji,23.0,2TM,SG,78.0,28.0,1641.0,7.7,0.497,13.4,0.1,-4.4,-1.0,,False,False,False
2025,agbajoc01,Ochai Agbaji,24.0,TOR,SG,64.0,45.0,1739.0,12.0,0.601,14.6,3.1,-0.7,0.5,,False,False,False
2026,agbajoc01,Ochai Agbaji,25.0,2TM,SG,62.0,13.0,973.0,8.9,0.525,14.6,0.9,-4.0,-0.5,,False,False,False
2007,agerma01,Maurice Ager,22.0,DAL,SG,32.0,1.0,214.0,2.9,0.408,21.7,-0.3,-8.7,-0.4,,False,False,False
2008,agerma01,Maurice Ager,23.0,2TM,SG,26.0,3.0,165.0,1.8,0.363,21.3,-0.4,-11.1,-0.4,,False,False,False
2009,agerma01,Maurice Ager,24.0,NJN,SG,20.0,0.0,97.0,2.2,0.365,24.4,-0.3,-10.7,-0.2,,False,False,False
2011,agerma01,Maurice Ager,26.0,MIN,SG,4.0,0.0,29.0,10.1,0.682,22.0,0.0,-0.7,0.0,,False,False,False
1982,aguirma01,Mark Aguirre,22.0,DAL,SF,51.0,20.0,1468.0,17.3,0.514,29.8,1.9,0.7,1.0,,False,False,False
1983,aguirma01,Mark Aguirre,23.0,DAL,SF,81.0,75.0,2784.0,20.5,0.535,30.0,6.9,1.7,2.6,,False,False,False
1984,aguirma01,Mark Aguirre,24.0,DAL,SF,79.0,79.0,2900.0,23.5,0.572,33.4,9.0,3.7,4.1,MVP-11;AS,True,False,False
1985,aguirma01,Mark Aguirre,25.0,DAL,SF,80.0,79.0,2699.0,21.3,0.563,32.2,7.2,1.8,2.6,,False,False,False
1986,aguirma01,Mark Aguirre,26.0,DAL,SF,74.0,73.0,2501.0,19.2,0.547,29.0,4.7,0.3,1.4,,False,False,False
1987,aguirma01,Mark Aguirre,27.0,DAL,SF,80.0,80.0,2663.0,22.1,0.56,31.3,8.9,3.1,3.4,MVP-15;AS,True,False,False
1988,aguirma01,Mark Aguirre,28.0,DAL,SF,77.0,77.0,2610.0,21.9,0.539,31.6,8.8,3.8,3.9,MVP-14;AS,True,False,False
1989,aguirma01,Mark Aguirre,29.0,2TM,SF,80.0,76.0,2597.0,16.4,0.524,27.4,4.5,0.1,1.4,,False,False,False
1990,aguirma01,Mark Aguirre,30.0,DET,SF,78.0,40.0,2005.0,15.8,0.544,24.3,5.7,1.0,1.5,,False,False,False
1991,aguirma01,Mark Aguirre,31.0,DET,SF,78.0,13.0,2006.0,16.7,0.526,25.7,5.5,1.4,1.7,,False,False,False
1992,aguirma01,Mark Aguirre,32.0,DET,SF,75.0,12.0,1582.0,13.7,0.479,27.6,2.2,-1.6,0.1,,False,False,False
1993,aguirma01,Mark Aguirre,33.0,DET,SF,51.0,15.0,1056.0,13.7,0.525,22.2,1.8,-0.2,0.5,,False,False,False
1994,aguirma01,Mark Aguirre,34.0,LAC,SF,39.0,0.0,859.0,13.1,0.544,21.6,0.9,-1.8,0.0,,False,False,False
2008,ahearbl01,Blake Ahearn,23.0,MIA,PG,12.0,0.0,177.0,9.0,0.495,23.2,0.0,-4.8,-0.1,,False,False,False
2009,ahearbl01,Blake Ahearn,24.0,SAS,PG,3.0,0.0,19.0,12.9,0.581,20.1,0.1,-0.9,0.0,,False,False,False
2012,ahearbl01,Blake Ahearn,27.0,UTA,PG,4.0,0.0,30.0,-7.3,0.357,28.4,-0.2,-19.5,-0.1,,False,False,False
1982,aingeda01,Danny Ainge,22.0,BOS,SG,53.0,1.0,564.0,10.1,0.439,21.5,0.5,-2.7,-0.1,,False,False,False
1983,aingeda01,Danny Ainge,23.0,BOS,SG,80.0,76.0,2048.0,13.2,0.519,16.5,5.2,0.2,1.2,,False,False,False
1984,aingeda01,Danny Ainge,24.0,BOS,SG,71.0,3.0,1154.0,10.4,0.498,16.2,1.8,-1.8,0.0,,False,False,False
1985,aingeda01,Danny Ainge,25.0,BOS,SG,75.0,73.0,2564.0,14.2,0.57,15.9,6.6,0.7,1.8,,False,False,False
1986,aingeda01,Danny Ainge,26.0,BOS,SG,80.0,78.0,2407.0,13.6,0.562,15.2,6.8,0.9,1.8,,False,False,False
1987,aingeda01,Danny Ainge,27.0,BOS,SG,71.0,66.0,2499.0,15.2,0.574,18.0,6.7,1.2,2.0,,False,False,False
1988,aingeda01,Danny Ainge,28.0,BOS,SG,81.0,81.0,3018.0,15.9,0.598,17.3,8.6,2.4,3.3,AS,True,False,False
1989,aingeda01,Danny Ainge,29.0,2TM,PG,73.0,54.0,2377.0,18.0,0.554,22.6,6.7,2.5,2.7,,False,False,False
1990,aingeda01,Danny Ainge,30.0,SAC,PG,75.0,68.0,2727.0,16.1,0.528,23.0,4.8,1.1,2.1,,False,False,False
1991,aingeda01,Danny Ainge,31.0,POR,SG,80.0,0.0,1710.0,17.0,0.574,20.8,6.2,3.7,2.5,6MOY-5,False,False,False
1992,aingeda01,Danny Ainge,32.0,POR,SG,81.0,6.0,1595.0,15.4,0.534,20.5,5.2,1.9,1.6,,False,False,False
1993,aingeda01,Danny Ainge,33.0,PHO,SG,80.0,0.0,2163.0,14.3,0.596,17.3,6.2,1.4,1.9,6MOY-2,False,False,False
