player_id,name,debut,last,span,n_valid,n_gaps,career_games,career_mp,mean_per,peak_per,sd_per,min_mp_valid,pos_mode,all_star_n,all_nba_n,mvp_top5_n,mean_bpm,mean_ws,sum_ws,sum_vorp,mean_usg,mean_ts,debut_age
abdelal01,Alaa Abdelnaby,1991,1995,5,5,0,256,3200,12.32,13.5,1.5866946776238964,159.0,PF,0,0,0,-4.5600000000000005,0.96,4.8,-1.4000000000000001,22.28,0.5174000000000001,22.0
abdulka01,Kareem Abdul-Jabbar,1980,1989,10,10,0,787,25675,21.130000000000003,25.5,3.9992624319991803,1695.0,C,10,6,5,3.5799999999999996,9.73,97.30000000000001,38.7,24.020000000000003,0.5999,32.0
abdulma02,Mahmoud Abdul-Rauf,1991,2001,11,9,2,586,15628,14.877777777777778,18.6,2.6644898522680673,486.0,PG,0,0,0,-1.4000000000000001,2.7888888888888888,25.099999999999998,4.6,25.58888888888889,0.4971111111111111,21.0
abdulta01,Tariq Abdul-Wahad,1998,2003,6,6,0,236,4807,10.583333333333332,13.6,2.5036085068467786,204.0,SG,0,0,0,-3.3166666666666664,0.5666666666666668,3.4000000000000004,-1.3,19.133333333333336,0.4575,23.0
abdursh01,Shareef Abdur-Rahim,1997,2007,11,11,0,830,28882,18.827272727272728,21.1,2.161266846126431,1867.0,PF,1,0,0,0.9090909090909091,6.463636363636363,71.1,21.999999999999996,24.709090909090904,0.5507272727272727,20.0
acresma01,Mark Acres,1988,1993,6,6,0,375,5982,9.0,10.1,0.6429100507328637,269.0,C,0,0,0,-3.516666666666666,1.5666666666666667,9.4,-1.8,10.183333333333334,0.5518333333333333,25.0
adamsal01,Alvan Adams,1980,1988,9,9,0,689,17991,17.144444444444446,20.3,2.3570749816532786,1452.0,C,0,0,0,2.3777777777777778,5.266666666666667,47.4,20.700000000000003,21.31111111111111,0.5467777777777778,25.0
adamsmi01,Michael Adams,1986,1996,11,11,0,653,20446,15.799999999999999,22.3,3.2532501231286175,139.0,PG,1,0,0,1.5272727272727273,4.2727272727272725,47.0,19.800000000000004,19.527272727272727,0.5310909090909091,23.0
addisra01,Rafael Addison,1987,1997,11,6,5,379,5697,10.450000000000001,11.9,1.152894907034751,355.0,SF,0,0,0,-4.0,0.8166666666666668,4.9,-2.5,19.150000000000002,0.4911666666666666,22.0
adrieje01,Jeff Adrien,2011,2015,5,4,1,153,2148,14.075,17.4,2.192458665516866,196.0,PF,0,0,0,-2.9000000000000004,1.0750000000000002,4.300000000000001,-0.10000000000000003,15.825,0.49925,24.0
afflaar01,Arron Afflalo,2008,2018,11,11,0,762,20829,11.236363636363636,16.0,2.787071688177633,682.0,SG,0,0,0,-1.8636363636363635,3.0545454545454547,33.6,2.4,17.01818181818182,0.5510909090909091,22.0
aguirma01,Mark Aguirre,1982,1994,13,13,0,923,27730,18.09230769230769,23.5,3.41162301516934,859.0,SF,3,0,0,1.0769230769230769,5.230769230769232,68.00000000000001,24.2,28.161538461538463,0.5363076923076923,22.0
aingeda01,Danny Ainge,1982,1995,14,14,0,1042,27755,14.250000000000002,18.0,2.229269579288889,564.0,SG,1,0,0,0.7571428571428571,5.1071428571428585,71.50000000000001,21.900000000000002,18.58571428571429,0.5475714285714286,22.0
ajincal01,Alexis Ajinça,2009,2017,9,6,3,293,3905,13.4,19.9,3.7969285832981723,182.0,C,0,0,0,-3.583333333333334,1.2666666666666668,7.6000000000000005,-0.8,20.05,0.5273333333333333,20.0
alarima01,Mark Alarie,1987,1991,5,5,0,325,5500,12.560000000000002,14.1,1.0423051376636305,587.0,PF,0,0,0,-2.7,1.6599999999999997,8.299999999999999,-0.5,19.62,0.5122000000000001,23.0
aldrico01,Cole Aldrich,2011,2017,7,7,0,339,3389,15.285714285714286,21.3,4.740834336283186,142.0,C,0,0,0,-0.35714285714285726,1.3714285714285717,9.600000000000001,1.9,13.514285714285714,0.5714285714285714,22.0
aldrila01,LaMarcus Aldridge,2007,2022,16,16,0,1076,36242,20.375,25.0,2.412338077467584,674.0,PF,7,5,0,1.46875,7.21875,115.5,33.5,25.3,0.548,21.0
alexaco01,Cory Alexander,1996,2005,10,7,3,307,4847,10.442857142857141,15.2,3.0099155863137907,201.0,PG,0,0,0,-2.8,0.42857142857142855,3.0,0.3999999999999999,18.942857142857143,0.4697142857142857,22.0
