label,n,k,ari_sel,ari_k8,tag
Single AE seed,1676,3,0.5833213894404605,0.5653002395658981,ae64_latent_seed0only
Unstandardised latent,1676,3,0.5370240987869618,0.5211337132935655,ae64_latent_nostd
UMAP before $k$-means,1676,3,0.3137907732374039,0.28712774170993627,ae64_umap5
UMAP + HDBSCAN,1676,5,0.2428960629923913,0.184941088485115,ae64_umap5_hdbscan
AE $d$=8,1676,3,0.32770615446767226,0.38192644637878326,ae8_latent
AE $d$=16,1676,4,0.2931623836928868,0.40142047754200455,ae16_latent
AE $d$=32,1676,3,0.5389479981768842,0.5085274544768998,ae32_latent
AE $d$=128,1676,3,0.6192148838495265,0.5318221151874317,ae128_latent
2025 restrictions,1676,3,0.1996771143205849,0.17897450512426427,ae64_latent_original2025
250-minute threshold,1544,3,0.3450572453903276,0.2943390268601263,ae64_latent_mp250
$\ge$3 seasons,1444,3,0.3523769351340651,0.2688688984477454,ae64_latent_min3seasons
No games rule,1676,3,0.4124818794740183,0.37815970029627016,ae64_latent_nogames
Debut $\le$2005--06,1437,3,0.3949223409661131,0.3695334753829546,ae64_latent_debut1980_2005
Gaps deleted,1676,3,0.622577390764718,0.3838089782751124,ae64_latent_consecutive
BPM instead of PER,1676,3,0.31735311223857904,0.23822169883210015,ae64_latent_primary_bpm
