tag,label,n_common,k,ari_sel,ari_k8
ae64_latent,AE $d$=64 (5 seeds),1676,3,0.252489138396583,0.21658739680406586
ae64_latent_seed0only,AE $d$=64 (seed 0),1676,3,0.22592100140461707,0.19816327147219384
ae64_umap5,AE + UMAP,1676,3,0.2775291010369075,0.19456935138993345
raw_latent,Resampled,1676,3,0.2833735309239702,0.3160846583128784
pca_latent,PCA,1676,3,0.21866907712489214,0.17669267623760815
ae8_latent,AE $d$=8,1676,3,0.243728286121037,0.17352360082625276
ae16_latent,AE $d$=16,1676,4,0.21663378256204016,0.2125468366809377
ae32_latent,AE $d$=32,1676,3,0.2548304692483949,0.22501530775668852
ae128_latent,AE $d$=128,1676,3,0.2602942970110616,0.20617478161383146
ae64_latent_original2025,2025 restrictions,1676,3,0.17511697604182175,0.2227070193494761
ae64_latent_mp250,250 min,1544,3,0.1635738010269006,0.18703393515739689
ae64_latent_min3seasons,$\ge$3 seasons,1444,3,0.24714517144421322,0.1874786822362298
ae64_latent_nogames,No games rule,1676,3,0.20959356933296253,0.22398776953841193
ae64_latent_debut1980_2005,Debut $\le$2005,1437,3,0.23767896310042877,0.2220949373592116
ae64_latent_consecutive,Gaps deleted,1676,3,0.24785086865562908,0.1997465876028098
ae64_latent_primary_bpm,BPM instead of PER,1676,3,0.204710326119179,0.1500731328039122
