ae_seed,config,method,k_min,k_median,k_max,noise_mean,largest_cluster_share,ari_mean,ari_min,ari_max
0,"(10, 10, 0.0, 25, 15)",eom,10,12.5,17,0.15244630071599047,0.3244630071599045,0.6101990450750614,0.19793719264165863,0.8842613291128405
0,"(10, 10, 0.0, 25, 15)",leaf,16,18.0,19,0.2913484486873508,0.09254176610978522,0.6274317768816503,0.501470301004117,0.7548033477048981
0,"(5, 15, 0.0, 30, 10)",eom,9,11.5,18,0.1979116945107399,0.2627088305489261,0.4919974731574934,0.2680951121111632,0.9305650051765476
0,"(5, 15, 0.0, 30, 10)",leaf,14,16.0,19,0.3470167064439141,0.08478520286396182,0.5449756151836114,0.4381027959064057,0.6664694582340516
0,"(5, 20, 0.0, 22, 7)",eom,9,18.5,21,0.19791169451073984,0.2833532219570406,0.4364958969067858,0.13559835188551853,0.9245223800465526
0,"(5, 20, 0.0, 22, 7)",leaf,21,23.0,27,0.3398568019093079,0.062410501193317425,0.6021814498352094,0.5382944765170831,0.6998205203544607
0,"(2, 15, 0.0, 40, 5)",eom,4,7.5,11,0.0434964200477327,0.6240453460620525,0.7476991271365828,0.28874982895852386,0.9612607628490417
0,"(2, 15, 0.0, 40, 5)",leaf,13,15.0,18,0.27649164677804294,0.09164677804295943,0.35962217681514674,0.26667462654762314,0.49343248805567425
1,"(10, 10, 0.0, 25, 15)",eom,2,7.5,19,0.13735083532219572,0.6063842482100238,0.29608686664024214,0.028869221599978973,0.8395387862458987
1,"(10, 10, 0.0, 25, 15)",leaf,16,18.0,20,0.3883651551312649,0.0785799522673031,0.6796019625298654,0.5786762731966248,0.7484070062477359
1,"(5, 15, 0.0, 30, 10)",eom,3,16.5,18,0.2585918854415275,0.18717183770883056,0.5139321930956634,0.02700035001967477,0.716747916969751
1,"(5, 15, 0.0, 30, 10)",leaf,15,17.5,19,0.29821002386634843,0.10083532219570406,0.625341184874795,0.4707560145077466,0.7115479369057949
1,"(5, 20, 0.0, 22, 7)",eom,2,20.0,22,0.21676610978520286,0.2927804295942721,0.3575328060698727,0.015831862972890434,0.9843506682843854
1,"(5, 20, 0.0, 22, 7)",leaf,23,24.0,26,0.33884248210023865,0.06264916467780429,0.5494171526108084,0.44236554505604864,0.6477067343039478
1,"(2, 15, 0.0, 40, 5)",eom,2,4.0,14,0.04045346062052506,0.7059069212410503,0.37987653380718495,0.034261983821378524,0.9929504927916669
1,"(2, 15, 0.0, 40, 5)",leaf,13,18.0,20,0.2491646778042959,0.083472553699284,0.3505692569488282,0.25291010077744885,0.4983873600390414
2,"(10, 10, 0.0, 25, 15)",eom,8,9.0,10,0.11348448687350834,0.5467183770883055,0.8808140891576703,0.803868076177855,0.947523650797837
2,"(10, 10, 0.0, 25, 15)",leaf,15,15.5,18,0.44236276849642,0.08072792362768497,0.6008223352579183,0.4991173088189677,0.7316213043519929
2,"(5, 15, 0.0, 30, 10)",eom,8,9.0,10,0.10220763723150357,0.5633651551312648,0.886882045547643,0.7736081660230282,0.9523070300654943
2,"(5, 15, 0.0, 30, 10)",leaf,15,16.0,18,0.37464200477326964,0.07804295942720764,0.607101116855174,0.5063132192571108,0.709419924449554
2,"(5, 20, 0.0, 22, 7)",eom,11,12.0,22,0.17834128878281624,0.4142004773269689,0.5406096687849568,0.15159614303433824,0.9411109679440904
2,"(5, 20, 0.0, 22, 7)",leaf,20,22.5,24,0.3781026252983294,0.06569212410501193,0.5687903637711677,0.47247258069446285,0.6839149125529975
2,"(2, 15, 0.0, 40, 5)",eom,7,8.5,10,0.07971360381861574,0.5636038186157518,0.8386372789621072,0.6859788288127404,0.9443595747339993
2,"(2, 15, 0.0, 40, 5)",leaf,12,16.0,19,0.3105011933174224,0.09713603818615751,0.24533198081706226,0.17856924837951663,0.3240436174731968
